,407-03-60,73,CEB 73-6036 R2,"Rolls-Royce Corporation 250-C47B Engine, Fuel and Control –Release of New Electronic Control Unit (ECU) (Issue Dt: 04-Sep-2003)",SB,04-Sep-2003,ASB 407-03-60,,,0:00, ,"All Rolls–Royce Model 250–C47B engines installed on Bell 407 aircraft, Model 250–C47M engines installed on Boeing Model 600N aircraft and Model 250–C30R/3 engines installed on Bell OH58D aircraft with Goodrich Control Systems Model EMC–35A Electronic Control Units (ECUs) are affected by this bulletin.",Select,Edit,Delete,View
,407-03-61,72,CEB A-72-6048 R1,"Rolls-Royce 250-C47B Engine, Turbine Assembly – Inspection of 4th Stage Turbine Wheels (23066744) (Issue Dt: 21-Nov-2003)",SB,21-Nov-2003,ASB 407-03-61,,,0:00, ,"All Model 407 helicopters with Rolls-Royce 250-C47B series engines installed.For 4th–stage turbine wheels (23066744, S/N HX76702 to HX76755)(23066744, S/N X504345 and lower).",Select,Edit,Delete,View
,407-04-62,73,CEB A-73-6042,"Rolls-Royce Corporation 250-C47B Engine, Fuel and Control — Hydromechanical Unit (HMU) — Incorporate Dual Element PLA Potentiometer (Issue Dt: 07-Jan-2004)",SB,07-Jan-2004,ASB 407-04-62,,,0:00, ,All model 407 helicopters.,Select,Edit,Delete,View
,407-04-64,72,CEB A-72-6050 R1,"Engine, Turbine Section - Inspection of Rolls-Royce Model 250-C47B Third Stage Turbine Wheels (6898663)",SB,03-Sep-2004,ASB 407-04-64'A',,,0:00, ,"All model 407 helicopters. Note: All Rolls-Royce Model 250-C47B engines, CAE 847638 and subsequent are not affected by this bulletin.",Select,Edit,Delete,View
,407-04-66,72,ASB 407-04-66'A',"Freewheel Aft Bearing Cap 406-040-509-101, Inspection and Rework of",SB,01-Dec-2004,ASB 407-04-66'A',,,0:00, ,"Model 407 H/C Freewheel aft bearing cap P/N 406-040-509-101,serial number A-1833 thru A-1912.",Select,Edit,Delete,View
,407-05-68,72,CEB A-72-6056,Rolls-Royce 250-C47B Engine Gearbox Assembly — Inspection and Rework of Gearbox Housing,SB,30-Jun-2005,ASB 407-05-68,,,0:00, ,Bell 407 helicopters with certain Rolls-Royce 250-C47B engines installed. 407 helicopters s/n 53648 and subsequent will have intent of this bulletin accomplished prior to delivery.,Select,Edit,Delete,View
,407-05-69,72,CEB A-73-6046R1,"ENGINE, FUEL AND CONTROL – HYDROMECHANICAL UNIT (HMU) PROCEDURES FOR CHECKING P1 NOZZLE SCREEN FOR CONTAMINATION",SB,05-Jul-2005,ASB 407-05-69,,,0:00, ,Bell 407 helicopters serial number 53000 through 53655.,Select,Edit,Delete,View
,407-05-69,73,CEB A-73-6046 R1,"Engine, Fuel and Control -Hydromechanical Unit (HMU) Procedures for Checking P1 Nozzle Screen for Contamination",SB*,05-Jul-2005,ASB 407-05-69,,,0:00, ,Bell 407 helicopters serial number 53000 through 53655.Serial No 53656 and subsequent will have intent of this bulletin accomplished prior to delivery.,Select,Edit,Delete,View
,407-06-72,55,ASB 407-06-72,"Horizontal Stabilizer 407-023-801- 109, Inspection and Replacement of",SB,12-Sep-2006,ASB 407-06-72,,,0:00, ,"All Model 407 listed in Table 1 (Helicopter S/N) and all Model 407 that had the stabilizer 407-023-801-109 replaced after March 01, 2004.",Select,Edit,Delete,View
D,407-06-73,72,CEB A-72-6060 R3,"Engine, Turbine Assembly - Power Turbine Outer Shaft",SB,12-Oct-2006,ASB 407-06-73,,,0:00, ,All 407 helicopters.,Select,Edit,Delete,View
D,407-06-73,72,CEB A-72-6060 R3,"Engine, Turbine Assembly - Power Turbine Outer Shaft",SB,12-Oct-2006,ASB 407-06-73,,,0:00, ,"All Rolls-Royce Model 250--C20, --C28, --C30, --C20R, --C40B, --C47, --B17 and --B17F Series engines listed in the Ref SB (CEB A-72-6060 R3) are affected by this Commercial Engine Bulletin (CEB). For Further Details Refer ASB 407-06-73",Select,Edit,Delete,View
,407-06-74,63,ASB 407-06-74,Product Improvement - Driveshaft Installation Tool SKSP1425-1,SB,22-Dec-2006,ASB 407-06-74,,,0:00, ,Model 407 helicopters S/N 53000 and subsequent.,Select,Edit,Delete,View
,407-07-75,25,ASB 407-07-75,Cargo hook stress corrosion cracks,SB,23-Mar-2007,ASB 407-07-75,,,0:00, ,All 407 models equipped with an Onboard Systems cargo hook P/N 528-010-00.,Select,Edit,Delete,View
