part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
2310CA015020,Split Pin,Vendor Part,,0,0,EACH,Expendable,
23111353-1,"Bottle, Blown Down",Vendor Part,,0,0,EACH,Expendable,
23111AG030LE,Washer,Vendor Part,XA9,0,0.12,EACH,Expendable,
23111AG040L3,Washer-Flat,Vendor Part,,0,0,EACH,Expendable,
23111AG040LE,Washer,Vendor Part,IXA8,0,0,EACH,Expendable,
23111AG050LE,Washer,Vendor Part,IXB4,0,0,EACH,Expendable,
23111AG060LE,Washer,Vendor Part,IXA6,1,0,EACH,Expendable,
23111AG080LE,Washer,Vendor Part,1C2,0,0,EACH,Expendable,
23111CA060,Washer,Vendor Part,XB5,0,1.11,EACH,Expendable,
23111CA080,Nut,Vendor Part,,0,0,EACH,Expendable,
23111CA100,Washer,Vendor Part,IXA7,0,0,EACH,Expendable,
23111TK050X,Washer,Vendor Part,,0,0,EACH,Expendable,
23111TK060X,Washer,Vendor Part,VIIIB8,0,30.7,EACH,Expendable,
23111TK080X,Washer,Vendor Part,,0,0,EACH,Expendable,
23112AG040LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23112AG050LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23112AG060LE,Washer,Vendor Part,XA7,1,0.65,EACH,Expendable,
23112AG080LE,Washer,Vendor Part,1A10,0,0,EACH,Expendable,
23112CA080,Washer,Vendor Part,IXC10,0,0,EACH,Expendable,
23116AG050LE,Washer,Vendor Part,1D1,0,0,EACH,Expendable,
23116AG080LE,Washer,Vendor Part,IXA6,0,0,EACH,Expendable,
23116AG120LE,Washer,Vendor Part,IXB5,0,0,EACH,Expendable,
23116CA050,Washer,Vendor Part,R11,0,0,EACH,Expendable,
23116CA060,Washer,Vendor Part,IXA5,0,0,EACH,Expendable,
23116CA080,Washer,Vendor Part,IXC8,0,3.5,EACH,Expendable,
23116TK060X,Washer,Vendor Part,,0,0,EACH,Expendable,
231177-1,Hook Baggage,Vendor Part,,0,0,EACH,Expendable,
23118AG080LE,Washer,OEM Part,,0,0,EACH,Expendable,
23118CA140,Washer,Vendor Part,IXC6,0,0,EACH,Expendable,
23119AG040LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23119AG050LE,Washer,Vendor Part,IXA3,0,0,EACH,Expendable,
23119AG080LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23119TK050X,Washer,Vendor Part,,0,0,EACH,Expendable,
23119TK080X,Washer,Vendor Part,,0,0,EACH,Expendable,
2311AG060LE,Washer,Vendor Part,,0,0,EACH,Expendable,
2311AG080LE,Washer,Vendor Part,,0,0,EACH,Expendable,
23121BC080LE,Washer,Vendor Part,1C3,0,0,EACH,Expendable,
2312G25,Turbine Temp Indicator,Vendor Part,,0,0,EACH,Instrument,
2312G-8,Barfield TOT Tester,Vendor Part,,0,0,EACH,Equipment,
23134AG080LE,Washer,Vendor Part,IXA2,0,0,EACH,Expendable,
2315M-24-12,Blade Assy,Vendor Part,,0,0,EACH,Expendable,
2315M-24-4,"REFILL BLADE,WIPER",Vendor Part,,0,0,EACH,Expendable,
2315M-24-5,Wiper Blade,Alternate Part,,0,0,EACH,Expendable,
2316-1600-00,DFDR,Vendor Part,,0,0,EACH,Rotable,
23201AM0100T,"Ring, Retaining",Vendor Part,,0,0,EACH,Expendable,
23201AM0250L,Circlip,Vendor Part,,0,0,EACH,Expendable,
23201AM0520L,Ring,Vendor Part,,0,0,EACH,Expendable,
23202AM0340T,Circlip,Vendor Part,,0,0,EACH,Expendable,
23202AM0520L,Circlip,Vendor Part,,0,0,EACH,Expendable,
2321G8,TURBINE TEMPERATURE TEST SET,Standard Part,,0,0,EACH,Equipment,
2-325L1120-70,O-ring,Vendor Part,,0,0,EACH,Expendable,
232K23-2,Tire,Vendor Part,,0,0,EACH,Expendable,
2330-00196-00,Rubber gray,Vendor Part,,0,0,EACH,Expendable,
2330-00251-00,"Rubber,Shape-120-205-1",Vendor Part,,0,0,FT,Expendable,
2330-00261-00,Seal,Vendor Part,,0,0,EACH,Expendable,
233-0023-99,Ring,Vendor Part,,0,0,EACH,Expendable,
2330-06218-00,Seal,Alternate Part,,0,0,EACH,Expendable,
2330-06218-00-FT,Seal,Vendor Part,,0,0,FT,Expendable,
2330-07524-00,Rubber,Vendor Part,,0,0,EACH,Expendable,
2330-08008-00,Seal,Vendor Part,,0,0,EACH,Expendable,
2330-08022-00,Seal,Vendor Part,,0,0,FT,Expendable,
2330-08031-00,Rubber,Vendor Part,,0,0,EACH,Expendable,
2330-08242-00,Rubber,Vendor Part,,0,0,FT,Expendable,
2330-08482-00,Seal,Vendor Part,,0,0,EACH,Expendable,
2330-10968-00,Seal,Alternate Part,,0,0,EACH,Expendable,
2330-11187-00,Rubber,Vendor Part,,0,0,FT,Expendable,
