EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
190,INQ109837,ABI SOLUTIONS,2021-01-11 00:00:00.000,Follow up email sent - TR  Call next time,EnquiryDraft,2020-12-17 10:59:28.337,,
299,INQ1010034,AYS International Inc.,2020-12-22 00:00:00.000,Reminder to be sent on 22nd december,EnquiryDraft,2020-12-17 11:34:11.657,,
191,INQ109838,ABSOLUTE PRINTING,2021-01-18 00:00:00.000,"Left a voice note and an EMail - TR 
Prospects dont look good as they already have their own riggers and operate locally.",EnquiryDraft,2020-12-17 12:07:34.963,,
302,INQ1010040,Back Thru The Future micro computers,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 13:42:35.017,,
303,INQ1010041,Bagelmania,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 13:49:30.337,,
304,INQ1010042,BALLENTINE TRUCKING COMPANY,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:04:50.030,,
305,INQ1010043,BanuCitech-Bd.Com,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:09:14.790,,
306,INQ1010044,Basic Crating & Packaging Inc.,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:13:40.850,,
307,INQ1010045,BCE Group,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:17:19.243,,
308,INQ1010046,"Bentonville Plastics, Inc.",2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:26:30.737,,
309,INQ1010047,Beshir,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of december,EnquiryDraft,2020-12-17 14:31:22.357,,
310,INQ1010048,BesimImer.Com,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of Decrmber,EnquiryDraft,2020-12-17 14:34:29.717,,
311,INQ1010049,BIZCO TECHNOLOGIES,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:39:56.937,,
312,INQ1010050,BJH Logistics,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:43:44.707,,
313,INQ1010051,Blaise ACG,2020-12-22 00:00:00.000,Reminder to be sent on 22nd of December,EnquiryDraft,2020-12-17 14:46:55.753,,
199,INQ109853,NULL,2021-01-18 00:00:00.000,Spoke to luke said he has nothing now. touch base next year. Sent him and email -TR,EnquiryDraft,2020-12-18 14:48:35.337,,
209,INQ109863,Ali  kaid Nassari,2021-01-18 00:00:00.000,Left a voice note and follow up email. - TR,EnquiryDraft,2020-12-18 15:13:57.197,,
208,INQ109862,Alam,2021-01-18 00:00:00.000,Follow up email sent- TR,EnquiryDraft,2020-12-18 16:25:09.447,,
205,INQ109859,Ahmad,2021-01-18 00:00:00.000,Sent follow up email. - TR,EnquiryDraft,2020-12-18 16:42:55.540,,
313,INQ1010051,Blaise ACG,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 16:56:19.713,,
204,INQ109858,AHLAN WA SAHLA,2021-01-18 00:00:00.000,Follow up email sent. TR,EnquiryDraft,2020-12-18 17:11:39.433,,
311,INQ1010049,BIZCO TECHNOLOGIES,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:24:35.790,,
310,INQ1010048,BesimImer.Com,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:26:30.763,,
309,INQ1010047,Beshir,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:28:44.613,,
303,INQ1010041,Bagelmania,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:30:54.160,,
292,INQ1010016,AXIS Export Inc,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:32:56.327,,
285,INQ109986,AWA MACHINERY INC,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:34:36.500,,
281,INQ109982,Atlantic Metal & Foils Inc.,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:36:43.460,,
280,INQ109981,Asua Al.,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:38:07.850,,
279,INQ109980,"Astrocom Systems LLC,",2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:39:45.407,,
276,INQ109977,ASIF ABBAS,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:41:15.633,,
268,INQ109969,Arif A Al-Ashoor,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:43:03.250,,
287,INQ109988,Arco Business Solutions Inc.,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:44:17.820,,
231,INQ109896,AMZ TRADING INC,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:45:58.743,,
267,INQ109968,American Clothing,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:47:47.340,,
266,INQ109967,AMA Computer Supply,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:49:47.367,,
266,INQ109967,AMA Computer Supply,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:50:55.800,,
222,INQ109887,ALL GREEN,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:52:04.243,,
220,INQ109885,ALL CITY LIMOUSINE,2021-06-01 00:00:00.000,REMINDER  TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:53:32.520,,
215,INQ109876,Beau Enterprises,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-18 17:54:48.720,,
203,INQ109857,AGHA LLC,2021-02-09 00:00:00.000,Called and spoke to Michael. Said nothing to do now. Get back in end of jan/feb - TR,EnquiryDraft,2020-12-22 12:33:38.687,,
